,quantile 1,quantile 2,quantile 3,quantile 4,quantile 5,L/S
20080104,1.019134888888889,1.0074521333333333,1.0154350222222222,1.0201608444444445,1.0224642666666666,1.0033293777777779
20080111,0.9325520888888889,0.9400581333333333,0.9439594222222222,0.9289111999999999,0.9245384888888889,0.9919864
20080118,0.9289053777777778,0.9141124,0.9118391555555556,0.9218468888888889,0.9078724,0.9789670222222223
20080125,0.9878136444444444,1.0123213777777778,1.0333977777777779,1.0332026222222221,1.032252311111111,1.0444386666666667
20080201,1.0498743362831857,1.0480167256637167,1.0351141592920354,1.034513185840708,1.03825796460177,0.9883836283185841
20080205,1.0549037168141593,1.0559147787610619,1.0483655309734514,1.0486841150442479,1.0534602654867256,0.9985565486725664
20080215,0.9615948672566372,0.9685304867256637,0.965372831858407,0.9623754424778761,0.9580378761061947,0.9964430088495575
20080222,1.0639945132743363,1.0727791150442478,1.0785961946902654,1.0784215486725663,1.0771850442477875,1.0131905309734512
20080229,0.9447027433628319,0.9533054867256637,0.9495924778761061,0.9518244690265486,0.9552256194690266,1.0105228761061946
20080307,0.866355221238938,0.8664134513274336,0.8573198230088495,0.8650837168141592,0.8507271681415929,0.9843719469026548
20080314,1.0216083628318584,1.0045863274336284,0.9973151769911505,0.9741642477876106,0.9814515044247788,0.9598431415929204
20080321,0.9233878761061947,0.9336365486725664,0.9469524336283186,0.949565221238938,0.9428485398230089,1.0194606637168142
20080328,0.9607526548672566,0.9598653982300884,0.9526659734513274,0.9637455309734514,0.9865607079646017,1.0258080530973452
20080403,0.9426596017699115,0.9277746460176991,0.926979203539823,0.9303713716814159,0.9480072123893805,1.005347610619469
20080411,0.9225630530973452,0.9046378761061946,0.8973119469026549,0.8980194247787611,0.8929610176991151,0.97039796460177
20080418,1.1031093805309735,1.0972873451327434,1.1141674336283187,1.126997831858407,1.1349637610619467,1.0318543805309732
20080425,1.0274771238938054,1.0225407522123895,1.0261888938053096,1.0255374336283185,1.0577096017699115,1.0302324778761063
20080430,1.0170084070796461,0.9999711946902655,1.0026526991150442,0.9950049115044248,0.9946844247787611,0.977676017699115
20080509,0.9794391150442477,1.0091323008849558,1.0029796017699115,1.01645296460177,1.0265186725663717,1.047079557522124
20080516,0.9126183628318584,0.9097255309734513,0.9067018584070796,0.9073256637168142,0.9043315486725665,0.991713185840708
20080523,1.0083482300884956,1.0145519026548673,1.0180835840707965,1.023999203539823,1.0302876548672566,1.021939424778761
20080530,0.870728628318584,0.8550458407079646,0.8650981858407081,0.8734242920353983,0.8809046017699115,1.0101759734513274
20080606,0.8363732300884956,0.842722389380531,0.8344978318584071,0.8252049115044249,0.8240498230088495,0.9876765929203539
20080613,0.9128580088495575,0.9070280088495575,0.8985057522123894,0.8975218141592921,0.8992261504424779,0.9863681415929204
20080620,1.0241560176991151,1.0273476991150443,1.0270423008849558,1.0221703982300885,1.0320407079646017,1.0078846902654868
20080627,1.0796834070796462,1.0853622566371681,1.09383203539823,1.0915833185840709,1.0878650442477875,1.0081816371681416
20080704,1.0193826991150443,1.0345935398230088,1.0419846017699115,1.0480051769911505,1.0508865486725663,1.0315038495575222
20080711,0.976701238938053,0.9804888938053098,0.9850107522123894,0.9831384513274336,0.9827437168141593,1.0060424778761061
20080718,1.0238823008849558,1.0252938495575221,1.0336328318584072,1.0352000884955752,1.0391513716814158,1.0152690707964602
20080725,0.9338874778761062,0.9276219469026549,0.9279145575221239,0.929826814159292,0.9285682743362832,0.9946807964601769
20080801,0.8167661471861472,0.8284098268398268,0.8210703896103897,0.8122967532467532,0.8143816450216451,0.997615497835498
20080808,0.9099379653679653,0.9065180086580086,0.9165007359307359,0.9104825541125541,0.9058474891774893,0.9959095238095239
20080815,1.0365560173160173,1.040961645021645,1.039360432900433,1.0436439393939394,1.0439575324675325,1.0074015151515152
20080822,0.9408822510822511,0.9400489610389611,0.9463942424242424,0.9492632467532468,0.9547554978354978,1.0138732467532467
20080829,0.8862710822510822,0.9150241125541126,0.9099169696969697,0.9227998701298701,0.9174152813852814,1.0311441991341992
20080905,0.9694715584415584,0.9763384848484848,0.9774732900432901,0.9765752813852814,0.975576277056277,1.0061047186147185
20080912,1.013483896103896,1.0103147186147186,1.0286767965367964,1.0248870995670996,1.0256874891774892,1.012203593073593
20080919,0.9418278354978354,0.9290425974025974,0.9356303463203464,0.9453720779220779,0.9512924242424242,1.0094645887445888
20080926,0.9160731168831169,0.9095883116883117,0.9082794805194805,0.9082006926406926,0.9030471861471862,0.9869740692640693
20081010,0.9485795238095238,0.9560787445887445,0.9566471861471861,0.9550558874458874,0.9416376190476191,0.9930580952380952
20081017,0.8917436796536797,0.8826284415584416,0.8932989177489177,0.9003438528138529,0.8920861471861472,1.0003424675324675
20081024,0.9559941991341991,0.965470735930736,0.9586450216450216,0.9622942424242424,0.9658741558441558,1.0098799567099568
20081031,1.077206406926407,1.087876277056277,1.0907105194805193,1.100803116883117,1.1037496536796538,1.0265432467532467
20081107,1.1252631168831169,1.145840173160173,1.1581024242424243,1.1743192207792208,1.1858303896103897,1.0605672727272728
20081114,0.9360013852813853,0.933658051948052,0.9357041991341991,0.935971038961039,0.9336336796536796,0.9976322943722944
20081121,1.039105064935065,1.0490802597402598,1.0402435064935065,1.0419161904761904,1.038078181818182,0.9989731168831169
20081128,1.09496341991342,1.1191931601731602,1.1271988744588743,1.1459987012987014,1.1690101298701299,1.07404670995671
20081205,0.9376832467532468,0.9473669264069264,0.9442425541125541,0.943742987012987,0.9452537229437229,1.0075704761904762
20081212,1.0475722943722943,1.0408652380952381,1.0555715584415584,1.0552257142857142,1.0679554112554113,1.020383116883117
20081219,0.9118080086580087,0.9006435064935066,0.89162329004329,0.8948403896103896,0.8877332467532466,0.9759252380952379
20081226,1.0531772727272726,1.0517047186147186,1.065387619047619,1.0553690043290043,1.0645312554112554,1.0113539826839828
